SL%,TP%,Final Balance,Total Return %
1.5,7.0,1001.4,0.14
2.0,7.0,1001.1,0.11
1.0,7.0,1001.1,0.11
3.0,7.0,1001.09,0.11
2.5,7.0,1001.0,0.1
1.0,6.0,1000.3,0.03
1.5,6.0,1000.3,0.03
2.0,6.0,999.8,-0.02
1.0,5.0,999.5,-0.05
2.5,6.0,999.5,-0.05
3.0,6.0,999.4,-0.06
1.5,5.0,999.2,-0.08
1.0,4.5,999.1,-0.09
1.5,4.5,998.65,-0.14
2.0,5.0,998.5,-0.15
2.5,5.0,998.0,-0.2
1.0,3.0,997.9,-0.21
2.0,4.5,997.85,-0.21
3.0,5.0,997.7,-0.23
2.5,4.5,997.25,-0.27
1.5,3.0,997.0,-0.3
3.0,4.5,996.85,-0.31
2.0,3.0,995.91,-0.41
2.5,3.0,995.01,-0.5
3.0,3.0,994.31,-0.57
